sample_name	percent_dups	percent_GC	million_sequences
Tamaulipas-pistils-0hr-25C-R1_R1_001	75.10%	43%	60.2
Tamaulipas-pistils-0hr-25C-R1_R2_001	66.50%	43%	60.2
Tamaulipas-pistils-0hr-25C-R2_R1_001	76.30%	40%	47.9
Tamaulipas-pistils-0hr-25C-R2_R2_001	66.00%	41%	47.9
Tamaulipas-pistils-3hr-25C-R1_R1_001	75.60%	43%	39.9
Tamaulipas-pistils-3hr-25C-R1_R2_001	68.40%	44%	39.9
Tamaulipas-pistils-3hr-25C-R2_R1_001	73.50%	39%	44.1
Tamaulipas-pistils-3hr-25C-R2_R2_001	62.00%	40%	44.1
Tamaulipas-pistils-3hr-37C-R1_R1_001	75.10%	42%	65.6
Tamaulipas-pistils-3hr-37C-R1_R2_001	65.10%	42%	65.6
Tamaulipas-pistils-3hr-37C-R2_R1_001	69.70%	41%	39.7
Tamaulipas-pistils-3hr-37C-R2_R2_001	57.70%	42%	39.7
Tamaulipas-pistils-8hr-25C-R1_R1_001	76.70%	42%	58.8
Tamaulipas-pistils-8hr-25C-R1_R2_001	67.40%	43%	58.8
Tamaulipas-pistils-8hr-25C-R2_R1_001	72.10%	40%	40.8
Tamaulipas-pistils-8hr-25C-R2_R2_001	59.30%	41%	40.8
Tamaulipas-pistils-8hr-37C-R1_R1_001	67.70%	42%	37.5
Tamaulipas-pistils-8hr-37C-R1_R2_001	60.80%	43%	37.5
Tamaulipas-pistils-8hr-37C-R2_R1_001	70.60%	40%	42.5
Tamaulipas-pistils-8hr-37C-R2_R2_001	57.30%	41%	42.5